,0,1,2,3,4,5
2400,0,1468371395,Tue Apr 07 01:15:42 PDT 2009,NO_QUERY,tlelover91,"Stephen just left,  i miss him sooo much...."
2560,0,1468401268,Tue Apr 07 01:26:36 PDT 2009,NO_QUERY,soapdishsailing,"I'm having a panic attack, so I can't sleep. Distracting myself with TV and internet. Hope this goes away soon "
2720,0,1468440198,Tue Apr 07 01:40:56 PDT 2009,NO_QUERY,courtniecupcake,"@Heromancer come back to orlando again sooon! i couldn't make it to the show, sadly "
2880,0,1468470368,Tue Apr 07 01:52:04 PDT 2009,NO_QUERY,jj_tins,Deadline ahead 
3040,0,1468504014,Tue Apr 07 02:04:24 PDT 2009,NO_QUERY,sparksthetoby,@marissamonotony why 
3200,0,1468543053,Tue Apr 07 02:18:49 PDT 2009,NO_QUERY,alunjohn,"@Claire_S Will you be videoing or streaming or podcasting, Tweeting or anything else? Can't make it unfortunately. "
3360,0,1468575832,Tue Apr 07 02:30:32 PDT 2009,NO_QUERY,RedVelvetHeart,"just been given ma marching orders, gotta go do some work, yay.........  "
3520,0,1468617899,Tue Apr 07 02:45:41 PDT 2009,NO_QUERY,jaredgunter,Up since 3:00. Going to be a looooong day. 
3680,0,1468649524,Tue Apr 07 02:57:11 PDT 2009,NO_QUERY,lewisholland,i need something big to happen 
3840,0,1468686594,Tue Apr 07 03:09:58 PDT 2009,NO_QUERY,DivasMistress,"@nikkiwoods Exactamundo!!! For some reason I think Foxx is knocked out, so IDK what's gonna happen, sorry "
4000,0,1468721137,Tue Apr 07 03:21:55 PDT 2009,NO_QUERY,Pitstopbunny,"@edibow haha, I have snot power too......1 week and counting! "
4160,0,1468755779,Tue Apr 07 03:33:42 PDT 2009,NO_QUERY,rpecknold,Going deaf in my right ear. Too many feedback squalls at soundchecks.  In with the earplugs
4320,0,1468791642,Tue Apr 07 03:45:25 PDT 2009,NO_QUERY,FenOswin,"@Schofe Dunno who is there with you, but she's no Fern  "
4480,0,1468833927,Tue Apr 07 03:58:41 PDT 2009,NO_QUERY,swimmingfishy,Going to school and enjoying my last day as a 16 year old  but  too
4640,0,1468873358,Tue Apr 07 04:10:37 PDT 2009,NO_QUERY,jerryfetus,I hate the V plotarc on True Blood  that poor chubby vampire guy getting staked was so sad
4800,0,1468913518,Tue Apr 07 04:22:39 PDT 2009,NO_QUERY,Roonaldo107,@Tracy_R Evil!! I have a prawn salad 
4960,0,1468953872,Tue Apr 07 04:34:06 PDT 2009,NO_QUERY,tedghosthunter,Spring time is over  http://twitpic.com/2yagh
5120,0,1468998615,Tue Apr 07 04:46:29 PDT 2009,NO_QUERY,Poppypaws,wishes things were easier 
5280,0,1469037466,Tue Apr 07 04:56:40 PDT 2009,NO_QUERY,LucyHarrop,I'm so bored  But its sunny for once but i can tell its gonna rain 
5440,0,1469085298,Tue Apr 07 05:08:30 PDT 2009,NO_QUERY,morganbrennan,I feel like DEATH.  My throat hurts.
5600,0,1469130122,Tue Apr 07 05:19:14 PDT 2009,NO_QUERY,mikehiow,"Ouch, I just bit my tongue as I sneezed. Blood tastes rough "
5760,0,1469176829,Tue Apr 07 05:29:55 PDT 2009,NO_QUERY,tongirl02,House completly surprised me last night. I can't believe I cried watching an episode of House. So sad. 
5920,0,1469234925,Tue Apr 07 05:42:26 PDT 2009,NO_QUERY,Kaydeescrafts,@wyndwitch I wish I had had to look that one up 
6080,0,1469289352,Tue Apr 07 05:54:00 PDT 2009,NO_QUERY,Ciridian,would have liked to have gotten more sleep last night! 
6240,0,1469342145,Tue Apr 07 06:04:34 PDT 2009,NO_QUERY,janenotvictoria,Flack for things that aren't my fault?  Not cool. 
6400,0,1469414844,Tue Apr 07 06:18:34 PDT 2009,NO_QUERY,skoop,I still dearly miss the symfony dev environment when working with zend framework 
6560,0,1469470373,Tue Apr 07 06:28:53 PDT 2009,NO_QUERY,tshamysboo,dierks bentley is also comin' to Indy on Aug. 8.....geesh!! i wanna go so freaking bad 
6720,0,1469529446,Tue Apr 07 06:39:30 PDT 2009,NO_QUERY,IPanicAtDiscos," dentist later, I'm hoping it's my teeth plates and nothing as NASTY as last time..."
6880,0,1469605708,Tue Apr 07 06:53:04 PDT 2009,NO_QUERY,AmySpears,"just wants to sleep, no matter how much she's missed school, people, and playing music.  She's just worn out, and it's only Tuesday.  "
7040,0,1469663416,Tue Apr 07 07:03:12 PDT 2009,NO_QUERY,amysav83,@jeayese coz its cold rain 
7200,0,1469722994,Tue Apr 07 07:13:44 PDT 2009,NO_QUERY,KrisLexBoog,its so nice out today i wish i didnt have to work today 
7360,0,1469784713,Tue Apr 07 07:24:42 PDT 2009,NO_QUERY,steffy_weffy,@dinadb where are you? 
7520,0,1469844736,Tue Apr 07 07:35:11 PDT 2009,NO_QUERY,Sienaleigh,I love the sun!! I hate school that keeps me out of the sun 
7680,0,1469901491,Tue Apr 07 07:45:24 PDT 2009,NO_QUERY,auntyadele,@vix7 I swear I'm going to unfollow you 
7840,0,1469969778,Tue Apr 07 07:57:51 PDT 2009,NO_QUERY,Hollywobbles,@reinmouse 
8000,0,1470036251,Tue Apr 07 08:09:22 PDT 2009,NO_QUERY,lindsaycb,@enoch111 Whoops. I got a little too happy. Doesn't work. Takes me to Cisco's page.  Shoot.
8160,0,1470093322,Tue Apr 07 08:19:41 PDT 2009,NO_QUERY,AndieGrandson,I don't wanna go to school...and find there fake friends  I need an Advice pleaseee!
8320,0,1470152257,Tue Apr 07 08:30:14 PDT 2009,NO_QUERY,BenZee,"@ericahoff  I'm sorry to hear that Erica... but I know you'll be back in a minute, you always have 1000 things going on"
8480,0,1470208653,Tue Apr 07 08:40:18 PDT 2009,NO_QUERY,TaraGdanitz,is trying to work I dont feel so good. 
8640,0,1548286554,Fri Apr 17 20:32:27 PDT 2009,NO_QUERY,Flyinwatermelon,"@lillyputian whats gotten into me these few days, going into the state of bad luck again..keep breaking stuff "
8800,0,1548490024,Fri Apr 17 21:05:49 PDT 2009,NO_QUERY,KMont,Alice is awesome. I wanna rip Jame's head off tooooo. 
8960,0,1548551581,Fri Apr 17 21:16:15 PDT 2009,NO_QUERY,photokitty,Freakin' crap! I just bit my tongue on accident. 
9120,0,1548613685,Fri Apr 17 21:27:12 PDT 2009,NO_QUERY,miriamjudd,@allymcfly haha! i wanted to go! but it was to late 
9280,0,1548688822,Fri Apr 17 21:40:15 PDT 2009,NO_QUERY,ubringmejoi,my nose is cold 
9440,0,1548746772,Fri Apr 17 21:51:02 PDT 2009,NO_QUERY,Nicol3KM,@KimKardashian Kim!! That's so bad for your skin..  The sun is a lot stronger in Mexico... it can turn any skin red. Still beautiful tho
9600,0,1548807322,Fri Apr 17 22:01:46 PDT 2009,NO_QUERY,tectizzle,@brittneygreen you were sleepy though! 
9760,0,1548874578,Fri Apr 17 22:15:04 PDT 2009,NO_QUERY,Jennifer6219,"im lonely  keep me company! 22 female, New Haven - Connecticut"
9920,0,1550703235,Sat Apr 18 07:00:07 PDT 2009,NO_QUERY,HunnyRed,being sick nyquil does not work any more 
10080,0,1550759979,Sat Apr 18 07:11:09 PDT 2009,NO_QUERY,zrinka,where did the sun go? 
10240,0,1550837456,Sat Apr 18 07:24:25 PDT 2009,NO_QUERY,swaller123,actually misses washington 
10400,0,1550903485,Sat Apr 18 07:35:29 PDT 2009,NO_QUERY,briexhernandez,I don't like being sick 
10560,0,1550965737,Sat Apr 18 07:46:05 PDT 2009,NO_QUERY,Jaiden3424,"im lonely  keep me company! 22 female, New Orleans - Louisiana"
10720,0,1551025081,Sat Apr 18 07:56:35 PDT 2009,NO_QUERY,AmberAusten,"@scottk75 that song isnt there, "
10880,0,1551104871,Sat Apr 18 08:09:43 PDT 2009,NO_QUERY,melaniedailly,"done night shift,hit the gym on way home...wishing it was an O'Darby wkend....too bad about someone being on call in ER all wkend "
11040,0,1551174863,Sat Apr 18 08:20:39 PDT 2009,NO_QUERY,Djevlen,"&quot;Sorry, an unexpected condition has occurred which is preventing Google Reader from fulfilling the request.&quot; "
11200,0,1551241679,Sat Apr 18 08:31:37 PDT 2009,NO_QUERY,stuartneil,"@recurrence give em a present from me, i have had to replant three seedlings "
11360,0,1551326710,Sat Apr 18 08:45:36 PDT 2009,NO_QUERY,VnessaBabyy,no one better not upload the videos  i swear if i see any clips i will fcuking kill you. LOL
11520,0,1551391999,Sat Apr 18 08:56:16 PDT 2009,NO_QUERY,celb,"so bored, i wish today was nicer so i could go outside  !"
11680,0,1551459973,Sat Apr 18 09:06:54 PDT 2009,NO_QUERY,Feathers44,@cos_mon_aut Thankyou! Hobbies? Such things have lapsed since having children  Watching TNG re-runs seems to be the nearest I get now ;)
11840,0,1551546820,Sat Apr 18 09:20:34 PDT 2009,NO_QUERY,KellyMcCamley,At work till 5 
12000,0,1551614549,Sat Apr 18 09:31:20 PDT 2009,NO_QUERY,_gnosis,love my boyfriend but so tired of explaining to people why he's never out with me. 
12160,0,1551680899,Sat Apr 18 09:41:49 PDT 2009,NO_QUERY,heel_ah_ree,missed palm springs soo much!! that was the BEST group of people!! 
12320,0,1551746790,Sat Apr 18 09:52:06 PDT 2009,NO_QUERY,Justinz_wifey,@JaeBattles not fail baby 
12480,0,1551837626,Sat Apr 18 10:06:05 PDT 2009,NO_QUERY,HollyLovesJonas,i doubt their going  to play JB on radio one today 
12640,0,1551903797,Sat Apr 18 10:16:24 PDT 2009,NO_QUERY,SmegFirk,"Playing after the others thanks to TV scheduling may well allow us to know what's go on, but it makes things look bad on Saturday nights "
12800,0,1551972352,Sat Apr 18 10:27:09 PDT 2009,NO_QUERY,percycarey,I'm in class right now 
12960,0,1552058844,Sat Apr 18 10:40:46 PDT 2009,NO_QUERY,LolaAM,@ReaganGomez I hate when childish petty feelings come before the welfare of the child 
13120,0,1553110034,Sat Apr 18 13:23:59 PDT 2009,NO_QUERY,B_Jacobs,"Great weather, great day... but my last one... "
13280,0,1553176164,Sat Apr 18 13:34:18 PDT 2009,NO_QUERY,gtm773,@tokyofan That SUCKS!  sorry..... 
13440,0,1553240917,Sat Apr 18 13:44:33 PDT 2009,NO_QUERY,NYCPrincezz1,Who will stop this bloodbath the Yankees r currently n and its only the 3rd innin 
13600,0,1553326309,Sat Apr 18 13:58:10 PDT 2009,NO_QUERY,bearsbullssox,"@tina1804 @cHello2k9 im so sorry, but im changing my profile pic back "
13760,0,1553393425,Sat Apr 18 14:08:51 PDT 2009,NO_QUERY,LotiBradley,"thinks she's done something, but isn't quite sure what it is.. oh where are you when i need you? "
13920,0,1553461163,Sat Apr 18 14:19:46 PDT 2009,NO_QUERY,Dramaqtpi,Casino not hittin' lost my $ going home now  money 
14080,0,1553544872,Sat Apr 18 14:33:18 PDT 2009,NO_QUERY,LVtheBoogie,It's raining and I have to work. 
14240,0,1553609261,Sat Apr 18 14:43:49 PDT 2009,NO_QUERY,jacquijs,@howlertwit nowt to watch lol 
14400,0,1553675991,Sat Apr 18 14:54:43 PDT 2009,NO_QUERY,debussie,"@suiteheart I hear you, friend "
14560,0,1553764486,Sat Apr 18 15:08:53 PDT 2009,NO_QUERY,nanaasante,It is actually HOT outside  http://myloc.me/3oP
14720,0,1553828656,Sat Apr 18 15:19:20 PDT 2009,NO_QUERY,kaylee_marie,@janakid yankees arent doing so well this year. How sad 
14880,0,1553892656,Sat Apr 18 15:29:56 PDT 2009,NO_QUERY,saraarose,i dont want to go to work at have  20 year olds be mean to me for seven hours 
15040,0,1553974603,Sat Apr 18 15:43:27 PDT 2009,NO_QUERY,riacdm,will try to get some rest...sleep...get well...  http://plurk.com/p/owcjv
15200,0,1554038553,Sat Apr 18 15:54:03 PDT 2009,NO_QUERY,mandyyx,fucking a 
15360,0,1554104585,Sat Apr 18 16:04:50 PDT 2009,NO_QUERY,JessMG87,I'm sick. I hate being sick its saturday! 
15520,0,1554169127,Sat Apr 18 16:15:27 PDT 2009,NO_QUERY,heidi920,"@joepolitics awww, i wanna come   i should really move to boston..."
15680,0,1554457092,Sat Apr 18 17:02:54 PDT 2009,NO_QUERY,christiiii,"spent the entire day with phiroze&lt;3 now, catching up on homework and studyinggg "
15840,0,1554522420,Sat Apr 18 17:13:37 PDT 2009,NO_QUERY,JJG09,Just got out of work...ready to do something fun tonight but idkk what yet! 
16000,0,1555731598,Sat Apr 18 20:32:06 PDT 2009,NO_QUERY,jacqqq_xo,@stephhie101 i know !  i'm soo sad 
16160,0,1555809138,Sat Apr 18 20:45:17 PDT 2009,NO_QUERY,ValerieCatrow,"Going to bed feeling crummy, hoping to be better tomorrow so I don't miss @maurawilson's shower "
16320,0,1555868179,Sat Apr 18 20:55:47 PDT 2009,NO_QUERY,baxbunny,#ASOT400 next big asot on the moon!??? hahahah sad its almost over 
16480,0,1555930458,Sat Apr 18 21:06:45 PDT 2009,NO_QUERY,nerri,Always sad to see boy leave 
16640,0,1555987810,Sat Apr 18 21:17:18 PDT 2009,NO_QUERY,paulatokar,@michaelfight ditto 
16800,0,1556057429,Sat Apr 18 21:30:33 PDT 2009,NO_QUERY,keepkatiequiet,"If I see one more tweet about the SIL/QD concert, I am not gonna be happy. Sleep now. Bus ride somewhere. I have to leave tomorrow  "
16960,0,1556113399,Sat Apr 18 21:41:25 PDT 2009,NO_QUERY,TwiLove66,My feet hurt so bad. I wore heels when I went to see Anne Frank's Diary and I haven't worn heels in years holy shit. I'm exhausted. 
17120,0,1556167285,Sat Apr 18 21:52:07 PDT 2009,NO_QUERY,alazysod,MSN hates me 
17280,0,1556232465,Sat Apr 18 22:05:13 PDT 2009,NO_QUERY,Busy_lil_bee,@whererujeezy I think I'm getting the flu 
17440,0,1556285995,Sat Apr 18 22:16:18 PDT 2009,NO_QUERY,Carley,@freakshowmikey @fsbigbob Snuggie Bar crawl looks amazing!!!!  I'm sorry I couldn't be there! 
17600,0,1556337028,Sat Apr 18 22:27:20 PDT 2009,NO_QUERY,paulinasb,"in the house of maca , please honey call me "
17760,0,1556392803,Sat Apr 18 22:39:51 PDT 2009,NO_QUERY,anthonylewry,@bcarstensen nah the Aus one doesn't have bluetooth  I'm def getting it now
17920,0,1556440544,Sat Apr 18 22:50:54 PDT 2009,NO_QUERY,bmad,"@poxaV dude, you've written off Sam? Is he just MIA, or do you know something? So sorry to hear, either way "
18080,0,1556489617,Sat Apr 18 23:02:17 PDT 2009,NO_QUERY,baldheretic,Spotted @CortneyM in the audience but didn't get to say &quot;hi&quot; 
18240,0,1556541838,Sat Apr 18 23:15:15 PDT 2009,NO_QUERY,LilTwizzler,Studying for a German exam 2morrow... is it against some sort of rule to have an exam on a sunday? well it should be. Wish I was on PEARL 
18400,0,1556587547,Sat Apr 18 23:27:07 PDT 2009,NO_QUERY,crazyartgirl,talking to an awesome guy im falling for. they always have to live so far away 
18560,0,1556629466,Sat Apr 18 23:37:59 PDT 2009,NO_QUERY,Marcy82,"I feel like i've been hit by a Ford Alton F-650 XUV, and let me tell ya that is one big XUV, so you can just imagine how sick i feel. "
18720,0,1556675150,Sat Apr 18 23:49:43 PDT 2009,NO_QUERY,careybeary12,my computer is incredibly slow tonight...... 
18880,0,1556716794,Sun Apr 19 00:00:54 PDT 2009,NO_QUERY,phantomberkanna,"Sleepy time, back to work tomorrow. No more avoiding creeper. "
19040,0,1556756505,Sun Apr 19 00:11:48 PDT 2009,NO_QUERY,Yannieluv,"missing my baby already.  miss his voice, miss our chats, miss everything about him. talk to me already please... "
19200,0,1556794545,Sun Apr 19 00:22:43 PDT 2009,NO_QUERY,sweet_sunrise,missing my boo 
19360,0,1556832860,Sun Apr 19 00:34:07 PDT 2009,NO_QUERY,itscatbaby,http://twitpic.com/3l37i - @dangerradio i have a small mouth by default. i dont have to try 
19520,0,1556870041,Sun Apr 19 00:45:27 PDT 2009,NO_QUERY,shaneomag,at home with a cold 
19680,0,1556907751,Sun Apr 19 00:57:20 PDT 2009,NO_QUERY,Abcmsaj,Couldn't sleep til 3:30 am... Woke up at 8:30 for work today. I have a maths test and remaining chemistry revision to do by TOMORROW. 
19840,0,1556945888,Sun Apr 19 01:09:24 PDT 2009,NO_QUERY,veryweirdguy,I am up too early for work. 
20000,0,1556976546,Sun Apr 19 01:19:44 PDT 2009,NO_QUERY,Alicepire,@heather2711 Good thing I didn't find any then  None of the ones I like come in my size. Stupid big feet 
20160,0,1557012284,Sun Apr 19 01:31:24 PDT 2009,NO_QUERY,SaBer011,am from rgypt and missed aly&amp;fila shittttttt   #asot400
20320,0,1557046840,Sun Apr 19 01:42:57 PDT 2009,NO_QUERY,sntxrr,@Absturbation only went as far as the main passenger deck.  - Same friggin' boat - yet missed each other... Whodathunk?!!
20480,0,1557078859,Sun Apr 19 01:53:49 PDT 2009,NO_QUERY,ranjeet_walunj,hardluck sutil ... hardluck forceindia ... you were good today .. may be next race  .. .. whats wrong with ferrari  -- #f1
20640,0,1557117583,Sun Apr 19 02:06:27 PDT 2009,NO_QUERY,arn0tz,thinks apply for scholarship or not? haay..  http://plurk.com/p/oyjw5
20800,0,1557149213,Sun Apr 19 02:17:48 PDT 2009,NO_QUERY,myryanh,@marginatasnaily unfortunatly I'm workin 
20960,0,1557181513,Sun Apr 19 02:29:46 PDT 2009,NO_QUERY,quiteawesome,my bed broke 
21120,0,1557216146,Sun Apr 19 02:42:29 PDT 2009,NO_QUERY,phoebe_x_,am feeling unhappy everyones seeing mcfly and i am not...silly shows being too far away 
21280,0,1557249699,Sun Apr 19 02:55:29 PDT 2009,NO_QUERY,triciaruth,Just woken up. 12 hours sleep and still feel tired 
21440,0,1557280076,Sun Apr 19 03:06:56 PDT 2009,NO_QUERY,caityyyb,is still awake and it's 6:06am.. 
21600,0,1557313150,Sun Apr 19 03:19:47 PDT 2009,NO_QUERY,patricia4u,@chewiella hahah yes i rushed to mikasounds but nothing  so disapointing
21760,0,1557345637,Sun Apr 19 03:32:19 PDT 2009,NO_QUERY,Nicolalalas,"@Derisu Aw, that sucks, I won't see you in cosplay... "
21920,0,1557376236,Sun Apr 19 03:44:07 PDT 2009,NO_QUERY,MCRmyWorld,ah jeez. painting finally done. english homework now.  
22080,0,1557409490,Sun Apr 19 03:56:37 PDT 2009,NO_QUERY,_Brittany_,@JasHale Oh  yeah i wouldnt try Edward haha
22240,0,1557443776,Sun Apr 19 04:08:57 PDT 2009,NO_QUERY,eclipser,"Nice weather outside, sun is shining. Unfortunately, it looks warmer than it actually is... "
22400,0,1557480351,Sun Apr 19 04:22:15 PDT 2009,NO_QUERY,WebbyJ,"doesn't want India to go back to her dads tomorrow, im going to miss her so much.. "
22560,0,1557513953,Sun Apr 19 04:34:17 PDT 2009,NO_QUERY,a_tomlinson7,Im happy coz i just got twiiter and finally figured it out but im shattered that i have school tomorrow 
22720,0,1557552250,Sun Apr 19 04:47:41 PDT 2009,NO_QUERY,DhruvAdityaDave,i cant believe theyd do that. thats five months of hard work and labour and no enjoyment whatsoever. all thrown away.  i need a hug!
22880,0,1557591722,Sun Apr 19 05:00:47 PDT 2009,NO_QUERY,jamestenniswood,"@isdixon really? nice, but won't have it until switching to Windows 7  (waiting for rc)"
23040,0,1557630341,Sun Apr 19 05:13:03 PDT 2009,NO_QUERY,juu013,study notes on a sunday afternoon!! 
23200,0,1557664998,Sun Apr 19 05:24:04 PDT 2009,NO_QUERY,Im_No_Supergirl,i have a head-achey cold thing meeeh not good  but had fresh coffee and pancakes for breakfast so that cheered me up...a little
23360,0,1557705959,Sun Apr 19 05:36:27 PDT 2009,NO_QUERY,mileysource,i have problems with oceanup..canï¿½t visit the page :'(..donï¿½t know if they have updates i could post 
23520,0,1557741551,Sun Apr 19 05:47:08 PDT 2009,NO_QUERY,KerryHolder,Neurofen.......i will do anything for neurofen right now. My head is guna fall of my shoulders. Reminder to myself: no more drinking 
23680,0,1557781980,Sun Apr 19 05:58:49 PDT 2009,NO_QUERY,m0po,"@hollieleanne @PrincessAymi @AmyleeEdith i go away to clean my house and do dishes, and i come back to being called a fairy! "
23840,0,1557821931,Sun Apr 19 06:09:24 PDT 2009,NO_QUERY,nan_fischer,@emoltzen Spent my tax refund on catching up on my CCs.  I was really wanting some new shoes!
24000,0,1557874333,Sun Apr 19 06:23:05 PDT 2009,NO_QUERY,MelissaBaculy,"i think elenor is sick or incapable of swimming properly,she is lying in the bottom of her tank, petco "
24160,0,1557917683,Sun Apr 19 06:33:58 PDT 2009,NO_QUERY,AdamRowley,@Wossy Show off.... I'm having a sausage roll 
24320,0,1557961820,Sun Apr 19 06:44:42 PDT 2009,NO_QUERY,tta269,"@NguyenNoir ??c h?t c? b? r?i. Th?ng Starr ?y lï¿½c ??u mï¿½nh r?t trï¿½ng ??i nï¿½ s? lï¿½ lo?i villain c?ng c?a, ai dï¿½ cï¿½ng v? sau cï¿½ng pathetic. "
24480,0,1558018152,Sun Apr 19 06:57:55 PDT 2009,NO_QUERY,juliesiewert,Who knows any good music to download to my iPod? My current music is getting boring 
24640,0,1558068968,Sun Apr 19 07:09:03 PDT 2009,NO_QUERY,Tegan_,@Livismint  Join the club.
24800,0,1558117674,Sun Apr 19 07:19:30 PDT 2009,NO_QUERY,gc4th,Trying to figure this TWITTER thing out...I'm soo old....I feel like my dad trying to set the VCR clock 
24960,0,1558167119,Sun Apr 19 07:29:53 PDT 2009,NO_QUERY,sh3lly85,Just got home from the laguna trip. Am dead tired. But I had fun. Didn't tan tho 
25120,0,1558233406,Sun Apr 19 07:43:27 PDT 2009,NO_QUERY,Sass30,Wishing I was outside in the beautiful weather......working instead 
25280,0,1558285738,Sun Apr 19 07:53:55 PDT 2009,NO_QUERY,saikano1,im already starting to get a bit sad that its all gonna be over in a couple of hours  #asot400
25440,0,1558341748,Sun Apr 19 08:04:21 PDT 2009,NO_QUERY,AngelicaCurves,@TheLink305 wish I was ther 
25600,0,1558398201,Sun Apr 19 08:15:04 PDT 2009,NO_QUERY,lhansengeorge,Just got back from a walk in the park with Hadley. Had to cut the trip short due to a poopy diaper. 
25760,0,1558469921,Sun Apr 19 08:28:28 PDT 2009,NO_QUERY,saaam_,"majorly wanna see the academy is... right now! haha, they're in manchester right now too  xD"
25920,0,1558527679,Sun Apr 19 08:38:58 PDT 2009,NO_QUERY,eeepitsalexis,There's still a little sour cream in the cracks 
26080,0,1558589229,Sun Apr 19 08:49:58 PDT 2009,NO_QUERY,mookie011,i have a bad cold a fever and a tooth ace 
26240,0,1558668529,Sun Apr 19 09:03:39 PDT 2009,NO_QUERY,Spurge89,"home waitin for Amara to get up, then she'll leave at 3 "
26400,0,1558731938,Sun Apr 19 09:14:38 PDT 2009,NO_QUERY,elledenise,@SLUMVILLAGE313 What about DC!? 
26560,0,1558792400,Sun Apr 19 09:24:56 PDT 2009,NO_QUERY,CaptainFlashman,nooooo!  left important paperwork at work which is a 90 min round trip and I need it for tomorrow .... double gutted!!!!! off I go 
26720,0,1558876757,Sun Apr 19 09:38:58 PDT 2009,NO_QUERY,skrobertson,@lyjahmarie 6AM :/ its bad enough that im up at 6:30 but 6AM oh god.  i cant eat in the morning  makes me feel urgh horrible.
26880,0,1558943365,Sun Apr 19 09:50:00 PDT 2009,NO_QUERY,allyheartsBB,"@victoriax3jonas such as the &quot;we will do this forever&quot;, &quot;what I see&quot;, &amp; &quot;we love fans&quot; but the binding of the book effed up my plans  haha"
27040,0,1559028409,Sun Apr 19 10:03:46 PDT 2009,NO_QUERY,Ifsogirl83,2 more days till change? I some how don't think so  But if you don't vote you can't complain...
27200,0,1559095605,Sun Apr 19 10:14:47 PDT 2009,NO_QUERY,caseyyyb,@devss haha decisions decisions!!! ...what happened to the pretty weather? 
27360,0,1559159770,Sun Apr 19 10:25:04 PDT 2009,NO_QUERY,snbrox729,HEEEEY new to twitter!!! upset cuz i cab't tell if the people are fake or the real celebrities!!     &lt;3  DON'T FORGET &lt;3
27520,0,1559249909,Sun Apr 19 10:39:18 PDT 2009,NO_QUERY,callumthomas,"is hoping that I get the work placement I applied for. School tomorrow, great! "
27680,0,1559320330,Sun Apr 19 10:49:57 PDT 2009,NO_QUERY,coloradojules,melting snow + dogs = muddy dogs and muddy couch and muddy floors and irritated mom  
27840,0,1559386379,Sun Apr 19 11:00:19 PDT 2009,NO_QUERY,danielknibbs,@BCbrews I get that all the time at the store. I had a girl who phoned head office once... I was just explaining how her beer was made 
28000,0,1559475920,Sun Apr 19 11:14:27 PDT 2009,NO_QUERY,AaliyahLove69,"@toughcity no i have 2-3 more days of photoshoots..and it wasnt glitches, it was fucking disasters "
28160,0,1559541595,Sun Apr 19 11:24:44 PDT 2009,NO_QUERY,fletchxx,@tommcfly hahaha aww poor gi! take me take me! i want to gooooooooooooooo! 
28320,0,1559607613,Sun Apr 19 11:35:07 PDT 2009,NO_QUERY,leewaters,"@lostinmiami Ooh, I remember that too. Can't remember her name. "
28480,0,1559674738,Sun Apr 19 11:45:37 PDT 2009,NO_QUERY,bilo22,i read this http://bit.ly/vaboL beacuse i want back my ex girlfrend 
28640,0,1559741690,Sun Apr 19 11:55:59 PDT 2009,NO_QUERY,beaglecorgi,"disregard those last updates, my account was hacked into "
28800,0,1559832725,Sun Apr 19 12:09:44 PDT 2009,NO_QUERY,farrahad,Trying to finished this portfolio but alive program won't freakin show... 
28960,0,1559898566,Sun Apr 19 12:19:51 PDT 2009,NO_QUERY,eric_e_schiller,whew...OPENS ARE DEAD...    WTF?
