,sentiment,post
38,0,would have liked to have gotten more sleep last night!
39,0,Flack for things that aren't my fault? Not cool.
40,0,I still dearly miss the symfony dev environment when working with zend framework
41,0,dierks bentley is also comin' to Indy on Aug. 8.....geesh!! i wanna go so freaking bad
42,0,"dentist later, I'm hoping it's my teeth plates and nothing as NASTY as last time..."
43,0,"just wants to sleep, no matter how much she's missed school, people, and playing music. She's just worn out, and it's only Tuesday."
44,0,coz its cold rain
45,0,its so nice out today i wish i didnt have to work today
46,0,where are you?
47,0,I love the sun!! I hate school that keeps me out of the sun
48,0,I swear I'm going to unfollow you
49,0,...
50,0,Whoops. I got a little too happy. Doesn't work. Takes me to Cisco's page. Shoot.
51,0,I don't wanna go to school...and find there fake friends I need an Advice pleaseee!
52,0,"I'm sorry to hear that Erica... but I know you'll be back in a minute, you always have 1000 things going on"
53,0,is trying to work I dont feel so good.
54,0,"whats gotten into me these few days, going into the state of bad luck again..keep breaking stuff"
55,0,Alice is awesome. I wanna rip Jame's head off tooooo.
56,0,Freakin' crap! I just bit my tongue on accident.
57,0,haha! i wanted to go! but it was to late
58,0,my nose is cold
59,0,Kim!! That's so bad for your skin.. The sun is a lot stronger in Mexico... it can turn any skin red. Still beautiful tho
60,0,you were sleepy though!
61,0,"im lonely keep me company! 22 female, New Haven - Connecticut"
62,0,being sick nyquil does not work any more
63,0,where did the sun go?
64,0,actually misses washington
65,0,I don't like being sick
66,0,"im lonely keep me company! 22 female, New Orleans - Louisiana"
67,0,"that song isnt there,"
68,0,"done night shift,hit the gym on way home...wishing it was an O'Darby wkend....too bad about someone being on call in ER all wkend"
69,0,an unexpected condition has occurred which is preventing Google Reader from fulfilling the request.&quot;
70,0,"give em a present from me, i have had to replant three seedlings"
71,0,no one better not upload the videos i swear if i see any clips i will fcuking kill you. LOL
72,0,"so bored, i wish today was nicer so i could go outside !"
73,0,Thankyou! Hobbies? Such things have lapsed since having children Watching TNG re-runs seems to be the nearest I get now ;)
74,0,At work till 5
75,0,love my boyfriend but so tired of explaining to people why he's never out with me.
76,0,missed palm springs soo much!! that was the BEST group of people!!
77,0,not fail baby
78,0,i doubt their going to play JB on radio one today
79,0,"Playing after the others thanks to TV scheduling may well allow us to know what's go on, but it makes things look bad on Saturday nights"
80,0,I'm in class right now
81,0,I hate when childish petty feelings come before the welfare of the child
82,0,"Great weather, great day... but my last one..."
83,0,That SUCKS! sorry.....
84,0,Who will stop this bloodbath the Yankees r currently n and its only the 3rd innin
85,0,"im so sorry, but im changing my profile pic back"
86,0,"thinks she's done something, but isn't quite sure what it is.. oh where are you when i need you?"
87,0,Casino not hittin' lost my $ going home now money
88,0,It's raining and I have to work.
89,0,nowt to watch lol
90,0,"I hear you, friend"
91,0,It is actually HOT outside
92,0,yankees arent doing so well this year. How sad
93,0,i dont want to go to work at have 20 year olds be mean to me for seven hours
94,0,will try to get some rest...sleep...get well...
95,0,fucking a
96,0,I'm sick. I hate being sick its saturday!
97,0,"awww, i wanna come i should really move to boston..."
98,0,"spent the entire day with phiroze&lt;3 now, catching up on homework and studyinggg"
99,0,Just got out of work...ready to do something fun tonight but idkk what yet!
100,0,i know ! i'm soo sad
101,0,"Going to bed feeling crummy, hoping to be better tomorrow so I don't miss shower"
102,0,next big asot on the moon!??? hahahah sad its almost over
103,0,Always sad to see boy leave
104,0,ditto
105,0,"If I see one more tweet about the SIL/QD concert, I am not gonna be happy. Sleep now. Bus ride somewhere. I have to leave tomorrow"
106,0,My feet hurt so bad. I wore heels when I went to see Anne Frank's Diary and I haven't worn heels in years holy shit. I'm exhausted.
107,0,MSN hates me
108,0,I think I'm getting the flu
109,0,Snuggie Bar crawl looks amazing!!!! I'm sorry I couldn't be there!
110,0,"in the house of maca , please honey call me"
111,0,nah the Aus one doesn't have bluetooth I'm def getting it now
112,0,"dude, you've written off Sam? Is he just MIA, or do you know something? So sorry to hear, either way"
113,0,Spotted in the audience but didn't get to say
114,0,Studying for a German exam 2morrow... is it against some sort of rule to have an exam on a sunday? well it should be. Wish I was on PEARL
115,0,talking to an awesome guy im falling for. they always have to live so far away
116,0,"I feel like i've been hit by a Ford Alton F-650 XUV, and let me tell ya that is one big XUV, so you can just imagine how sick i feel."
117,0,my computer is incredibly slow tonight......
118,0,"Sleepy time, back to work tomorrow. No more avoiding creeper."
119,0,"missing my baby already. miss his voice, miss our chats, miss everything about him. talk to me already please..."
120,0,missing my boo
121,0,- i have a small mouth by default. i dont have to try
122,0,at home with a cold
123,0,Couldn't sleep til 3:30 am... Woke up at 8:30 for work today. I have a maths test and remaining chemistry revision to do by TOMORROW.
124,0,I am up too early for work.
125,0,Good thing I didn't find any then None of the ones I like come in my size. Stupid big feet
126,0,am from rgypt and missed aly&amp;fila shittttttt
127,0,only went as far as the main passenger deck. - Same friggin' boat - yet missed each other... Whodathunk?!!
128,0,hardluck sutil ... hardluck forceindia ... you were good today .. may be next race .. .. whats wrong with ferrari --
129,0,thinks apply for scholarship or not? haay..
130,0,unfortunatly I'm workin
131,0,my bed broke
132,0,am feeling unhappy everyones seeing mcfly and i am not...silly shows being too far away
133,0,Just woken up. 12 hours sleep and still feel tired
134,0,is still awake and it's 6:06am..
135,0,hahah yes i rushed to mikasounds but nothing so disapointing
136,0,"Aw, that sucks, I won't see you in cosplay..."
137,0,ah jeez. painting finally done. english homework now.
138,0,Oh yeah i wouldnt try Edward haha
139,0,"Nice weather outside, sun is shining. Unfortunately, it looks warmer than it actually is..."
140,0,"doesn't want India to go back to her dads tomorrow, im going to miss her so much.."
141,0,Im happy coz i just got twiiter and finally figured it out but im shattered that i have school tomorrow
142,0,i cant believe theyd do that. thats five months of hard work and labour and no enjoyment whatsoever. all thrown away. i need a hug!
143,0,"really? nice, but won't have it until switching to Windows 7 (waiting for rc)"
144,0,study notes on a sunday afternoon!!
145,0,i have a head-achey cold thing meeeh not good but had fresh coffee and pancakes for breakfast so that cheered me up...a little
146,0,i have problems with oceanup..canï¿½t visit the page :'(..donï¿½t know if they have updates i could post
147,0,Neurofen.......i will do anything for neurofen right now. My head is guna fall of my shoulders. Reminder to myself: no more drinking
148,0,"i go away to clean my house and do dishes, and i come back to being called a fairy!"
149,0,Spent my tax refund on catching up on my CCs. I was really wanting some new shoes!
150,0,"i think elenor is sick or incapable of swimming properly,she is lying in the bottom of her tank, petco"
151,0,Show off.... I'm having a sausage roll
152,0,"??c h?t c? b? r?i. Th?ng Starr ?y lï¿½c ??u mï¿½nh r?t trï¿½ng ??i nï¿½ s? lï¿½ lo?i villain c?ng c?a, ai dï¿½ cï¿½ng v? sau cï¿½ng pathetic."
153,0,Who knows any good music to download to my iPod? My current music is getting boring
154,0,Join the club.
155,0,Trying to figure this TWITTER thing out...I'm soo old....I feel like my dad trying to set the VCR clock
156,0,Just got home from the laguna trip. Am dead tired. But I had fun. Didn't tan tho
157,0,Wishing I was outside in the beautiful weather......working instead
158,0,im already starting to get a bit sad that its all gonna be over in a couple of hours
159,0,wish I was ther
160,0,Just got back from a walk in the park with Hadley. Had to cut the trip short due to a poopy diaper.
161,0,"majorly wanna see the academy is... right now! haha, they're in manchester right now too xD"
162,0,There's still a little sour cream in the cracks
163,0,i have a bad cold a fever and a tooth ace
164,0,"home waitin for Amara to get up, then she'll leave at 3"
165,0,What about DC!?
166,0,nooooo! left important paperwork at work which is a 90 min round trip and I need it for tomorrow .... double gutted!!!!! off I go
167,0,6AM :/ its bad enough that im up at 6:30 but 6AM oh god. i cant eat in the morning makes me feel urgh horrible.
168,0,"such as the will do this forever&quot;, I see&quot;, love fans&quot; but the binding of the book effed up my plans haha"
169,0,2 more days till change? I some how don't think so But if you don't vote you can't complain...
170,0,haha decisions decisions!!! ...what happened to the pretty weather?
171,0,HEEEEY new to twitter!!! upset cuz i cab't tell if the people are fake or the real celebrities!! DON'T FORGET
172,0,"is hoping that I get the work placement I applied for. School tomorrow, great!"
173,0,melting snow + dogs = muddy dogs and muddy couch and muddy floors and irritated mom
174,0,I get that all the time at the store. I had a girl who phoned head office once... I was just explaining how her beer was made
175,0,"no i have 2-3 more days of photoshoots..and it wasnt glitches, it was fucking disasters"
176,0,hahaha aww poor gi! take me take me! i want to gooooooooooooooo!
177,0,"Ooh, I remember that too. Can't remember her name."
178,0,i read this beacuse i want back my ex girlfrend
179,0,"disregard those last updates, my account was hacked into"
180,0,Trying to finished this portfolio but alive program won't freakin show...
181,0,whew...OPENS ARE DEAD... WTF?
182,0,"Polly has gone back home now won't see her till Friday now sniffel, sniffel, whimper, whimper"
183,0,in tha caaaaar on the way to the dorms. bye spring break
184,0,Sprained ankle- can't play tennis for 3 weeks!
185,0,Back to work today after 2 fantastic weeks off
186,0,"so my phone officially died can't receive or send any calls or texts, so don't try, and i won't be able to get a new phone til Tuesday"
187,0,calllllll meeeeeee 914 920 8193 I'm late!!!
188,0,aj where have you be
189,0,hahah rite shit..I never say no to pizza so bad hahah
190,0,"whatevz, I was totally sitting by the phone waiting for u to call haha jk"
191,0,Packing up a shipment that goes out to Sharjah today. The heat outside is a bitch. But you gotta do what you gotta do
192,0,"still feeling really nervous I really have never felt so nervous, it's horrible."
193,0,"Aaw, poor Miley! Where are you at the moment?"
194,0,First day back at college
195,0,"Nothing... this site is soooooo boring... i miss myspace, bebo, facebook tagged screw this.. im going if it dont get exciting soon....."
196,0,"Thank you, I've misplaced my phone"
197,0,still getting over the weekend
198,0,"no-one loves a zombie for his (admittedly non-functioning) brain. Or, uh, braaaaaaiiiiiinnnnzzzzz."
199,0,Totaly sick
200,0,the farewell party for the graduating class of 2009 has been postponed
201,0,WHY AINT YOU FOLLOWIN ME??
202,0,wonder why she bit...it hurts now that it is swollen
203,0,I have very few time to tweet these days
204,0,justin Justin JUSTIN...You never responded I'll just shoutout to myself -xoxo
205,0,"says ??debian?simplify media, dropbox???ubuntu? ubuntu is the new windows?"
206,0,I just got up like an hour ago and I really want to go to bed
207,0,"just installed the 1.4.5 update, cleared the cache but the following&quot; bug is still there"
208,0,I hoped for a pic too...But nothing
209,0,needs to do university work - so will have to finish video tonight - meh
210,0,There's a really annoying bird nested in a tree near my office window and it's making a noise like a evil dentist's drill
211,0,me too finals suck.
212,0,"sitting in 1st hour , this is gonna be a longgg day"
213,0,"is enjoying her morning, although I had NO sleep"
214,0,"blah i hate rain, i wanna b outside in the sun but i cant seem to find it"
215,0,"Happy Sunday! Just jet skied, kayaked and water skied! Sooo fun! Last day in Mexico"
216,0,Just finished the morning devotional. It's a rainy day so looks like no excuse not to do housework.
217,0,The furry ones and I were gonna go back 2 the bark park today. But its ElCrapo outside
218,0,"BBQ chicken, plain potato, veggies last night. Woke up with tummy ache. If Mrs. Scale unkind again Wednesday, may never eat out again."
219,0,thanks! I've never made it to front page I've heard it doesn't usually bring many sales but more views can't hurt!
220,0,Morning Tweets...is it still the weekend??? ....Oh its monday
221,0,No more vacation back to school!
222,0,can i come work at this morning? i'm bored here.
223,0,I wish my friend mary would come visit today
224,0,Accidents: 440 Hillsboro Pk / 65S Trinity Ln / 65N Rosa Parks Blvd. May see rain today High of 64
225,0,"oh man, it has been days since ive been on here! im a lazy bum. OH! the weather here SUCKS! it was so warm and now it is freezing again!"
226,0,hiya! maybe you'll be able to enlighten me. Why the first songs rule&quot; for concert photographer like me? wt....?
227,0,"speaking of blu-rays, I think I'll go and update my wish list. Unless i get like 2000 bucks tho this list will be around for a while"
228,0,"Sitting in the sun, listening to gomez, sipping a vailla latte, shame it's at work"
229,0,ugh i got grounded for the weekend but now im back!
230,0,I want this for my cats! Too bad shipping is so expensive
231,0,Monday Monday Monday...
232,0,i need CASH. gonna buy a soccer ball. I WISH!!
233,0,...
234,0,Hang in there Stephen Hawking
235,0,"I wish I could give you a better answer, but I haven't seen all of them yet"
236,0,Oh you best believe I'm using 'em lol I miss you.
237,0,i'm tired and i still haven't finished my hwk. sad
238,0,"good night, i guess. more studyzilla tomorrow"
239,0,On the flipside... completely bummed that there isn't a or sighting.
240,0,Trying out UberTwitter... We'll see how this app goes. Hopefully doesn't freeze all the time like TwitterBerry!
241,0,Oh! I meant to stop by I just got focused on my paper and forgot =/
242,0,"Have to pay by cash, right?"
243,0,"Want to join gym but has no money, wants Aaron to be here so I can look after him but he's 6 hours away"
244,0,seriously shite at high impact cardio
245,0,Still. Why'd put that picture?! To make fun of me?!
246,0,just woke up and feeling peckish (hungry)....i need to also finish a ton of work so i'll be in my room all day
247,0,"Me! Me! Oh, can't get there. Living in the grim north west sucks! Apart from being near Anfield; that ROCKS! When I can get tix.."
248,0,has nothing to say right now.
249,0,excruciating back pain.
250,0,I'm working in the the evening but could do daytime for sure. COFFEEEEEE
251,0,i had to record it but i'll be watch it later...i'm excited
252,0,Gutted can't make the murder mystery party anymore. Stupid exam timetable!!!!!!
253,0,At work again 1st of 3 night shifts then holidays yoohoo
254,0,wants her K Rudd money!
255,0,and the video taken to private? can't view
256,0,how come i never win anything: no tshirt not even a badge!
257,0,For some reason my Tuesday feels like a Monday this week
258,0,"I don't have to put on the red dress either, but I like to, even though it clashes with my hair."
259,0,I feel like the plague
260,0,"Oh gods, Battletoads. Played it.. twice? I still have nightmares sometimes.. (xD)"
261,0,he said it tickles!!! i am mortified for life now
262,0,Unfortunatly not yet. My Internet is subpar right now
263,0,Tried to have crazy butt sex but somebody walked in
264,0,"sorry i had 2 go, i still have to find out the dates exactly... BUT I WILL FIND A WAY! not sure but the festival though."
265,0,Penny is feeling icky
266,0,"Thank you!! Sorry, I didn't understand the last sentence is it about my clothes? Is it because it's similar to yours?"
267,0,is tired
268,0,some problems with MMT functions and no email for trouble tickets how to get customer support ???
269,0,watching the most depressing episode of deadliest catch
270,0,And my laptop still has no internet.
271,0,pukeing at two in the morning is not fun
272,0,Watching 7 Pounds...this movie is so sad...
273,0,I know I should be. Ugh!
274,0,"Sad. Nice, local health food store has a ï¿½For Leaseï¿½ sign up tonight"
275,0,ewww... i feel sick... too much junk food
276,0,Gosh! Fast food isn't really working to my advantage right now... All I want is a chocolate shake
277,0,"happy birthday! My total apologies for last night, had to write do you have wheels yet?"
278,0,i missed pantsless skype again?
279,0,work on Saturdays is poo. I had to be in my work at 6:30 to meet an escalator repair dude. Still waiting.
280,0,Me being sick = sucky because i cannot sleep!
281,0,"It's true that NLT broke up! It has been confirmed! I will always love these boys cuz NLT is Kevin, NLT is V, NLT is Travis NLT is JJ!"
282,0,editting zenith photos still... they're never ending... very unlike senior year ...
283,0,can we cut off part of the country so NV can have a beach ......plz
284,0,i'm doing another move (back to seattle) over the next couple weeks! i miss everyone and music
285,0,i would've loved the rain if someone was with me
286,0,Sometimes i wonder if i'm not only a distraction
287,0,just woke up post-call. Aching all over
288,0,damn it! i wish i was at la cave! i got sick as hell after i left KUCI yesterday so i've stayed in all day!
289,0,"When I speak English I sound like a strong, confident, smart man. When I speak Vietnamese I sound like a super polite, giddy teenager."
290,0,Oh my baby. I hate when my angels are sick
291,0,has very cold feet today ITS THE EYE OF THE TIGER IT'S THE THRILL OF THE FIGHT MOLLY!
292,0,i miss you terribly. things arent well.
293,0,forced to go for the reinstall of ubuntu since i somehow managed to break it
294,0,"I remember when Ben was a cute, curly little toddler whose world revolved round his mum, at 11 he's a smart arse like his big brothers"
295,0,Still in pain... Is there a doctor in the twitter room?
296,0,Just seen my sister go and run off to Hawaii But at least she'll have fun!!
297,0,hating my life missing dustin
298,0,"cant sleep, still freaked out about IHOP... i didnt even get to kiss Justin goodnight"
299,0,Unlucky on the back injury For irony: My Mum damaged her knee on a health and safety training course! Had to laugh :p
300,0,Ugh this guy stinks of cigarettes my throat is actually burning :S
301,0,at least you people had your dinner alr..wat abt us studying in lib
302,0,"Using recycled materials in a project, and environmentally friendly paints. in very hard to certify that I get what I ordered"
303,0,how i was hyper at 5 in the morning idk but not n e more
304,0,missed that one...
305,0,"nope, no replies. He uses twittterberry which isn't the easiest thing to keep up w/ replies. But still..."
306,0,Just bought meat and salad for a barbecue tonight. Now watching the clouds beginning to gather
307,0,selling for scrap only here unless very special or seriously antique.
308,0,express SQL and vs always cause probe
309,0,suffering from travel vaccs and listening to delicate sounds of tree pulping...
310,0,"just got up,, now chillinggg i guesss,, theres nothin to doo"
311,0,feelin a lil nausea rght now watchn good times. Diddy that damn ciroc.
312,0,My grandfather is losing it I think. He thinks his roomate has been replaced by an axe murderer who is trying to steal his gold.
313,0,We had double the amount of rain we normally get in April. Another wet year here in Toronto
314,0,Yellow Car isn't any fun on your own.
315,0,"Back from soccer already, Aidan is too sick."
316,0,but that link just takes us back to the twitter homepage
317,0,Just got kicked out of my computr saaaad. Mario kart then xD
318,0,I don't know spanish enough to say who's good and who's not.
319,0,Not looking forward to the rest of this weekend. Ugh.
320,0,1GB Ram is not available as an addon if you already have a vps with you guys.
321,0,Feels bad for cupcake.
322,0,I miss singing Our Song with the Galatians class.
323,0,I'm too hot
324,0,I haven't spoken to in a while I feel deserted!
325,0,awww close but no cigar ay? Well I shall have to try harder. Why can't I see your picture?
326,0,Good morning everyone! I think I had food poisoning I'm feeling much better today but not at 100% quite yet
327,0,I slept in
328,0,"Only had 6 hours of sleep, but I'm awake enough to drive around. I guess I'm hitting the fair tonight with Butcher? my tummy hurts"
329,0,I'm jealous. I wish I was at Bamboozle
330,0,Lol i'll try it's still in the box we got it in trussville lol it's a gaming computer TSP&lt;3'sEET
331,0,already missng their giggles and hearing their chit chat. My nest is empty once again
332,0,why cant i get a photo on this
333,0,been doing stupid essay all day taking a short break from it
334,0,Sorry T-dog. I know you've been looking forward to the big race!
335,0,Finished cleaning my room. Yay! Now on to the laundry...
336,0,Is at nofx but not into it. Something up with her and this has brought me down
337,0,had a very scary dream but didn't wanna wake up from it. a little freaked out to say the least
338,0,dont worry you will get them soon;) you just need 4 more imagine i need 42 more
339,0,miiii want a JAMOCCHA SHAKE..
340,0,I can't see them!
341,0,Back from the BBQ and studing for finals!
342,0,or earlier... fail
343,0,"bit me. i know, I should have known better. ..."
344,0,Can't get into pure for the after party cause my dumbass forgot dress shoes
345,0,"Is feeling sorry for herself,I miss my dad sosoo much wish he was here my sis got to sick to go to his house guess I'll wait 2 more weeks"
346,0,please don't
347,0,wish i could have made it today hit my local shop instead got some great goodies.
348,0,Do share. I'm about 1/3 the way through what I need to do
349,0,I liked the Speed Racer movie... do I need help?
350,0,i know i should be happy about the five that did get in but the one that didn't was one of my favourites of the collection
351,0,thinking of HOME.
352,0,awee ! i feel bad for the snail and you
353,0,uhh... stop with the helicopters?
354,0,I'm not going to skip another weekend if I can help it
355,0,Nothing on t.v.
356,0,i wish she had a concert in india
357,0,I dropped one of my iPod earphones in a glass of water
358,0,Sometime during the 4 1/2 hours I was gone my balloon popped
359,0,Day one.. VINI DIDNT TEXT ME!! Tehe Im eating lip gloss!!! (:
360,0,"Feeling ronery, eating mrs. munchies, working on stuff, and in love always with craig tucker. I miss Shaba Wakie."
361,0,- naww...too big 4 this ride...
362,0,not happy?! I am worse...
363,0,is SEAF'd out! Got some great shots tonight but ripped my favorite back seam stockings
364,0,"YTuber's watch [and if you can, comment] on Jess' new vid, please! Her work *never* gets enough views/comments!"
365,0,I really need to do some housework I'm sure I can put off for 1 more day!
366,0,My computer hard disk crashed
367,0,"working out NZMM itinerary, Colapsing cities only 1 show on Thursday, and...what? no Clap Clap Riot or Cut off your hands? FMP June"
368,0,why is dasha so bad tempered? she's always picking on peggy-rose. she upsets me a lot sometimes
369,0,Has Yasuhiro Yoshiura sold out? Time of Eve episodes 1 and 2 was great but he's going the mainstream comedy route on episodes 3 and 4
370,0,"ahh, i hope they win - like really bad they deserve it! i haven't even heard of those other shows :p aha, xD"
371,0,"I wouldn't mind, except my sweetie keeps the opposite hours makes it hard to embrace my inner night owl!"
372,0,Toaster broken. Now Schwarzbrot for breakfast instead.
373,0,so hungover buuut so xcited boot goin 2 see Morrissey on Friday!! Yes o Yes!!! xxx
374,0,wonders how the weekend can be half over already.
375,0,I lot DT by less then 15 points again at least the saints area still cruising along...
376,0,On my own today. Coursework I think
377,0,is still feeling feverish and heaty
378,0,I know it's not sending messages
379,0,Oh and helped up this super pretty girl; if came and thanked me again just now; too shy to introduce myself hope to see her again
380,0,"What is this thing called on a Sunday&quot;?(Having said which, in my case, what is this thing called *sigh*)"
381,0,anytime. I miss talking to you!
382,0,"Doesnt wanna stop cuddling with his new kitty, so sweet...but gotta go to work"
383,0,hmm... i just heard about lots of people r chasing u down i feel really sorry about that
384,0,on the way to Tampa to say goodbye to Momma Chi
385,0,I wasn't asleep for THAT long why do i have thirty texts?
386,0,Both Noe and I are suffering from cold-like (NOT flu-like) runny noses and general ickiness. Hope Suz holds out
387,0,Husband is leaving today to go back to military land alone with the kiddie again
388,0,Back home
389,0,ahh what a long week away from my laptop that was
390,0,But that's the boring thing to do
391,0,"Still Sick... And I have next to no voice, what's a Megan to do without a voice?! I can't be my normal chatterbox Megan"
392,0,has a major tooth ache
393,0,"Clouds rolling in, no walk today"
394,0,I'm sad about the looming Monday as well.
395,0,"never mind, mother's day oh well we'll figure something out !"
396,0,hoping that Summer starts to feel better through out the day today and doesn't get sick all night again
397,0,Happy Sunday. Millie I are driving to Portland today to help Steph recuperate from c-section. Owen won't be home for another week.
398,0,"I woke up because thick, gooey blood was oozing out of my ears where I gauged them."
399,0,Hey Chris what going on!! so sad about Adam Cook
400,0,Getting ready to Clean
401,0,why don't i ever have good sundays??
402,0,soooooooo sleepy...got out of work today but i have to spend the day doing homework I want to take a nap .Anywhoo.... 11 MORE DAYS!!!!
403,0,is swamped at work...not too many updates coming from me today
404,0,- this picture is missing a lot of juniors photoshop me in please!
405,0,"Darn it, there's no Virgin cable where we're moving to. Central brighton sucks for high-speed internet -- 50MB I cannot haz."
406,0,We'll see
407,0,I AM SO HUNGRY
408,0,how do u mean i was going to go to bed . . .
409,0,at home eating gross fruit slad
410,0,I am tired! Going to bed early today. I hate mondays
411,0,Birthday cake is my least favorite thing
412,0,my tweeps that i used to tweet with all the time (not you) don't tweet me as much i miss dem
413,0,My mom wont let my go to school cuz she thinks i have swine flu
414,0,cutest one right now is the all black one. Gonna put them in the paper when they hit 8wks old. If i could get u one I would
415,0,so did the sox
416,0,I'm pretty embarassed that I didn't know who Kevin was. I've only seen all the movies he's been in
417,0,thank you now I feel bad
418,0,sad we didnt win say hello to me and please ;) it would totally make us smile..:
419,0,I can't because I used up all my vacation time at work. Do you still love me?
420,0,well you guys are the all time low of all time lows. jk that was mean
421,0,we dont have sonics in michigan or oncue. efff.
422,0,sextuplets birthday. I'll send u pics of the cakes and tell u who won. Hahaha it's not the same warning it without u tho
423,0,I know right?! My sister started crying then they just left before I got the dog...
424,0,WHAT GUY WOMAN?! you know i'm nosey! Haha ur mean. U didn't tell me you love me.
425,0,I'm simply here at the hotel room. Pretty bored. My best friend just left with her new boyfriend. I won't lie...being alone kinda sucks
426,0,what is wrong with meeee?
427,0,pretty much. its alll gone though bring me more.
428,0,yes sad to see her go He should have kept Jesse James instead of Joan Rivers.
429,0,is in taber cause my uncle died i miss him
430,0,It wreally hurts
431,0,second nosebleed of the day
432,0,- 5 months ..... already
433,0,"just watched marley me, had some pizza and cuddled with my man... still have the damn swine flu"
434,0,i would if I could....bloody big scoliosis curves in my back make it painful for me to run
435,0,I miss my JakeyPoop.
436,0,I wish the whole least I tried&quot; or did my best&quot; concepts could be applied in real life situations--I hate finals--I hate stress
437,0,its sad Im so glad he is sober now!!
438,0,I FEEL SO..... REPLACED.
439,0,"hic, h?i ?ï¿½ t? cï¿½ ch?i 1 l?n v?i th?ng em t?... c?ng ch? nh? tï¿½n"
440,0,why does ur chest hurt. ur boobies! yes i miss you so much! i wish i could lay down with you all night!
441,0,Dang forum has been down for days
442,0,You know what sucks about these 5 iPhones&quot; games? They don't give you the iPhones you hit.
443,0,I am a bad mother today-'playing' with my daughter involves taking my laptop outside while she plays
444,0,I hate my inbox when it is the bearer of bad news
445,0,i love rob big but i dont have cable shucks..
446,0,is hoping it won't rain and ruin the day's cricket today
447,0,So I guess you miss the concert Good set list. Too much bass. Couldn't hear the vocals very well. Ladytron was pretty good tho
448,0,i think im gonna wear my Camp Rock t-shirt later for luck.. we'll go to the dentist. im scared
449,0,Firefox has stopped working after installing Flock
450,0,at work... a little bit tired... my head hurts a bit.... and i miss my girlfriend thinking about having a poo ;)
451,0,appears to be a dead link
452,0,Typical bank holiday weather: Rainy and cool. My planned motorcycle ride will have to be substituted for pulling up weeds in the garden
453,0,"Watching an Air Crash Investigation on the Lockabie tragedy. So, so sad."
454,0,"thinking of you, sunshine.. Im missing you.."
455,0,"hackintosh mï¿½, lï¿½m quï¿½i gï¿½ cï¿½ ti?n ?ï¿½ Mac x?n"
456,0,David Cook's brother died. Praying for him.
457,0,i have to miss out on Supernatural tonight
458,0,Someone ate my dark cocoa
459,0,Studying for my examss
460,0,What about a Cape Town list ?
461,0,"Right, seen bunny and he's still in a mood he's not my biggest fan. Off to have a shower then off for lunch and drinkies!"
462,0,and again I missed the mmm's from moriesbel
463,0,wow you rocked so much!!!! i wasnt there but ive seen you on youtube and wow keep rockin' and rollin' xoxo
464,0,"not for the moment, yes"
465,0,YAY! I will follow u toooo~~ =p I misshhyyy uuu T.T wheennn uu cominggg bacckk?
466,0,I love Gossip Girl! Sad that season two is coming to an end
467,0,getting in school- is a lot harder than i though Can't wait to start school
468,0,It's Morning I have 2 Leave.
469,0,burnt my ear like 2 mins ago on my straightener!! owwww
470,0,yes I guess you are right.... shame though
471,0,is going to move a little and then meeting Jeff up at the ER. Poor Lover Dover
472,0,Is sunburned really bad. I can hardly put my backpack on. but im Kk.
473,0,think im having cramps its gonna b a long week
