,index,0,1,2,3,4,5
98,981,0,1956203836,Thu May 28 21:23:30 PDT 2009,NO_QUERY,citygirl912,"@suzechooch oh, and there was so much love between us just yesterday. "
99,991,0,1956601322,Thu May 28 22:14:26 PDT 2009,NO_QUERY,Mannemily,My feet are killing me and this is only the beginning 
100,1001,0,1956967341,Thu May 28 23:09:15 PDT 2009,NO_QUERY,xoshayzers,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
101,1011,0,1957349129,Fri May 29 00:13:50 PDT 2009,NO_QUERY,bigmadkev,Morning all: Looks like no Nintendo Gameboy phone 
102,1021,0,1957726936,Fri May 29 01:24:58 PDT 2009,NO_QUERY,NorCalStang,Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along 
103,1031,0,1960514549,Fri May 29 08:04:59 PDT 2009,NO_QUERY,K8Brown,Kyles going out of town this weekend  play time wif my fwiends. Rawrrr.
104,1041,0,1961248792,Fri May 29 09:12:36 PDT 2009,NO_QUERY,merediiith,I wanna be out in the sunshineeeeeee 
105,1051,0,1961973461,Fri May 29 10:19:38 PDT 2009,NO_QUERY,inmemory24,argh! why why why 
106,1061,0,1962651267,Fri May 29 11:23:47 PDT 2009,NO_QUERY,ChickenStudios,"Still no reply from @lorenb about my SimFinger problem  So no iRape parody video until I get a response, sorry guys"
107,1071,0,1963143902,Fri May 29 12:16:14 PDT 2009,NO_QUERY,JudeBrian,"is locked out for the house! shit, thank god there's internet... "
108,1081,0,1963728956,Fri May 29 13:09:37 PDT 2009,NO_QUERY,GreenFreakii,in Mallorca. Want to play guitar   When i come home I'm going to buy the mcfly dvd first :]]
109,1091,0,1964502573,Fri May 29 14:20:18 PDT 2009,NO_QUERY,tatty73,I hate how MS makes me feel. I can't control my legs 2nite &amp; am in too much pain - it's driving me crazy  Anyone else get those moments?!!
110,1101,0,1965090524,Fri May 29 15:18:58 PDT 2009,NO_QUERY,chanceler34,I hate waiting in lines 
111,1111,0,1965720514,Fri May 29 16:25:16 PDT 2009,NO_QUERY,peglegparadiddl,@mamamikey paramore makes me want to punch babies  lol
112,1121,0,1966198993,Fri May 29 17:18:45 PDT 2009,NO_QUERY,DivasMistress,@Kalediscope Girl *cries* I'm allergic to seafood 
113,1131,0,1966644589,Fri May 29 18:08:22 PDT 2009,NO_QUERY,dmbtoffee,@beebalmdancer cause i'm 19 and i overreact when things don't work out 
114,1141,0,1967134381,Fri May 29 19:02:07 PDT 2009,NO_QUERY,cerridwen,@HillaryWill What's your bowling average? *wishes I was watching you race on tv this weekend* 
115,1151,0,1967566849,Fri May 29 19:49:06 PDT 2009,NO_QUERY,ratpick,"Home from a 65 mi, 4900' ride in the mountains - new PB on Old La Honda! - and Garmin 705 corrupted the track - I hate it "
116,1161,0,1968107765,Fri May 29 20:46:25 PDT 2009,NO_QUERY,tangowhisky,@erinwarde same thing can be said about being a single male. 
117,1171,0,1968593180,Fri May 29 21:46:15 PDT 2009,NO_QUERY,LawlietJourney,Want To Go Camping on the field  I wish we could but mum has work @ 5 am.Gonna Go back out 4 food.Wanna steal Dev's Base its sick!
118,1181,0,1968952562,Fri May 29 22:37:58 PDT 2009,NO_QUERY,mutantkat,Thanks all. My best friends mom died last December. My bf's sister is probably dying. They don't have a prog yet on the poor kid. 
119,1191,0,1969353024,Fri May 29 23:46:10 PDT 2009,NO_QUERY,saintcreaghzy,@lolmonsters is there anything in your fridge? mines empty besides thursday night pizza 
120,1201,0,1969760678,Sat May 30 01:07:37 PDT 2009,NO_QUERY,queenofvampire,i dont like having no freinds  #marsiscoming
121,1211,0,1970109909,Sat May 30 02:29:47 PDT 2009,NO_QUERY,silverdaisy13,All my good intentions - out the window!! got up early to cut the grass before it gets too hot - flat battery on mower! 
122,1221,0,1970452754,Sat May 30 03:55:41 PDT 2009,NO_QUERY,jordanxxo,"#myweakness generic music, or music with guitars and synths "
123,1231,0,1970804709,Sat May 30 05:16:16 PDT 2009,NO_QUERY,graceyydoll,#myweakness - chocolate 
124,1241,0,1971213591,Sat May 30 06:31:48 PDT 2009,NO_QUERY,BernieTalanca,Canadian relatives....thats all I'm gonna say.  
125,1251,0,1971570900,Sat May 30 07:24:19 PDT 2009,NO_QUERY,Gemma_Rigby,Can't believe I have to wait another 6 months for my phone contract to end! I'm bored now!!! The 12 month contract would have run out!!! 
126,1261,0,1971931509,Sat May 30 08:12:14 PDT 2009,NO_QUERY,clare_10,"@mazza16 yeah i hope so, haha same and i gathered that u were quite fond lol! no eye candy in it now  except susan ;) .. yuk"
127,1271,0,1972306012,Sat May 30 08:58:44 PDT 2009,NO_QUERY,cloverdash,"@leannenufc Oh no, it's not is it? Boo Wicked!  *hugs*"
128,1281,0,1972708802,Sat May 30 09:44:17 PDT 2009,NO_QUERY,atldube,gotta go to work 
129,1291,0,1973118632,Sat May 30 10:31:17 PDT 2009,NO_QUERY,Krystlenftw,"If balloons could think , it would be because they inhale SmartAir - Rume , Wai Juu Soe Mehsee  Dunn Wurree , Ai Gunr Kleen Juu ! "
130,1301,0,1973616091,Sat May 30 11:30:03 PDT 2009,NO_QUERY,XoAngelJenn36oX,"i hate this war, i wish that it would all just end, he's been sent over there 5 times, going on 6  "
131,1311,0,1974017229,Sat May 30 12:16:35 PDT 2009,NO_QUERY,trASHLEIGH,And its sold out.  going to next showing in two hours.
132,1321,0,1974428886,Sat May 30 13:07:05 PDT 2009,NO_QUERY,iEnnoi,Ok i shall do one math paper per day. My math is really lousy! And tuition isn't helping!   - http://tweet.sg
133,1331,0,1974830410,Sat May 30 13:55:08 PDT 2009,NO_QUERY,katemate09,Susan Boyle 2nd  great show
134,1341,0,1975228495,Sat May 30 14:43:01 PDT 2009,NO_QUERY,NeelyMosca,BBQ'in at Richie's house! Too bad I can't eat anything cuz of my stupid diet 
135,1351,0,1975609994,Sat May 30 15:31:19 PDT 2009,NO_QUERY,Ryan_Fielder,I just remembered i need to wake up for work 
136,1361,0,1975970882,Sat May 30 16:18:12 PDT 2009,NO_QUERY,bluewavemedia,@Allisoncds the one at Highbury and commissioners - Rona Plaza - in last couple of days I think 
137,1371,0,1976336955,Sat May 30 17:06:22 PDT 2009,NO_QUERY,caseyxfedor,This sucks sitting here with nothing to do 
138,1381,0,1976702415,Sat May 30 18:49:09 PDT 2009,NO_QUERY,dancegirl5741,grrr.. why'd i have to have soccer tomorrow? could've gone to wonderland. 
139,1391,0,1977010612,Sat May 30 19:51:42 PDT 2009,NO_QUERY,sassacassie,"@sportsguy33 sad, but true "
140,1401,0,1977319599,Sat May 30 20:41:11 PDT 2009,NO_QUERY,laurkleinhenz,@K8TGreen ill be praying for you 
141,1411,0,1977672545,Sat May 30 21:27:19 PDT 2009,NO_QUERY,JIDamaliKai,@therealmiamazin no HBO I miss it so  has that Jill scott show started?
142,1421,0,1978009359,Sat May 30 22:13:06 PDT 2009,NO_QUERY,Alishamaynard,is off to bedd for the night not feeling well  ....good ight everyone ...grandparents tomorrow ???
143,1431,0,1978339825,Sat May 30 23:04:12 PDT 2009,NO_QUERY,SOULPITCHDIVA,AWWW HOT JUST SAW MY CREDITS ON CHAPELLE YEEPEEEE..   Those where happy funny long talent meeting nites! redbull &amp; skateboard
144,1441,0,1978726429,Sun May 31 00:15:48 PDT 2009,NO_QUERY,adum,"@niffster cheers jen(nifer). saha's opening goal came faaaaaar to early. it added even more pressure, which proved to be too much. "
145,1451,0,1979080787,Sun May 31 01:33:37 PDT 2009,NO_QUERY,janine_j9,@TimothyH2O and is the leighton video up or what ? you said you were gonna update me 
146,1461,0,1979406524,Sun May 31 02:54:51 PDT 2009,NO_QUERY,Lizloz,@gemmak500 well.. sob.. I've only had one invite even though Everyone seems to be playing 
147,1471,0,1979738113,Sun May 31 04:18:14 PDT 2009,NO_QUERY,toen,"watch chef master, the doctor, unpack our shoping, expense log .. now iroooooning .. hiks "
148,1481,0,1980071451,Sun May 31 05:35:02 PDT 2009,NO_QUERY,annabelyee,"@cheeseeecake me toooo, but i still have a heap of assignments to get through "
149,1491,0,1980404618,Sun May 31 06:38:45 PDT 2009,NO_QUERY,trishalimgenco,In VA to cheer for a volleyball tourney. I'd rather play.. but stupid knee.. 
150,1501,0,1980740465,Sun May 31 07:33:10 PDT 2009,NO_QUERY,JessGabrielle,mama he made it!!! I'm gonna be a blubbery fool all day... :-D... 
151,1511,0,1981126339,Sun May 31 08:28:39 PDT 2009,NO_QUERY,driahades,@rocksolidhair I am! Although it's warm.  Had to take it out the fridge so shopping would fit!
152,1521,0,1981488495,Sun May 31 09:15:31 PDT 2009,NO_QUERY,juliaamariee,was FORCED to stay awake ALL night?! yep. Julia. Me. MEEE. Cause of my sister and her dictatorship.  booo. well...this is the stupid part.
153,1531,0,1981856639,Sun May 31 10:01:56 PDT 2009,NO_QUERY,goddessrica,I really wanted to see LeBron &amp; Kobe in the finals.  Oh well; Delonte took his shirt off at the end &amp; all my disappointment went away. =D
154,1541,0,1982239146,Sun May 31 10:48:35 PDT 2009,NO_QUERY,FayeOx,"@Baker63 so not nice, getting rushed to the hospital after a bite of chicken curry is nasty. "
155,1551,0,1982608740,Sun May 31 11:32:58 PDT 2009,NO_QUERY,MandaLynne25,"Packing  Leaving tonight, hoping the weather is nice there.. I need SUN!!!!"
156,1561,0,1983007379,Sun May 31 12:19:33 PDT 2009,NO_QUERY,stevetilley,"Bad news fellow vidgame types -- got a family medical emergency and I won't be at E3 this week.  For those going, have a great show."
157,1571,0,1983411108,Sun May 31 13:06:16 PDT 2009,NO_QUERY,katarin,@battleshipdrive oh bb 
158,1581,0,1983829521,Sun May 31 13:55:05 PDT 2009,NO_QUERY,MrsMcFlyGrimmy,@carolinejjordan everyone's talkign pets tonight i have pics but not of pets cos i have no pets  x
159,1591,0,1984224084,Sun May 31 14:41:04 PDT 2009,NO_QUERY,MandyKitKat,@FoxyVPS i lost  sadness lol
160,1601,0,1984622626,Sun May 31 15:28:27 PDT 2009,NO_QUERY,VioletKanian,feeling soo sick  entire body hurts. 
161,1611,0,1985001432,Sun May 31 16:13:50 PDT 2009,NO_QUERY,JoelWestley,sitting at home studying waiting till I have to go to school to do the exam. 
162,1621,0,1985365140,Sun May 31 16:58:02 PDT 2009,NO_QUERY,MrStusticles,@Transmecharian Sweating just sat here with my window open 
163,1631,0,1985761847,Sun May 31 17:43:25 PDT 2009,NO_QUERY,meREDithDubya,I want my old user name 
164,1641,0,1986182063,Sun May 31 18:27:09 PDT 2009,NO_QUERY,CalyopeRose,Still can't work out how to use this. 
165,1651,0,1986725155,Sun May 31 19:13:50 PDT 2009,NO_QUERY,CYLViA_C,@MrFresh0587 yeah i know. well...i'm going to bed. first day of my summer class tmrw. omg 4 hours for one class! 
166,1661,0,1988830080,Sun May 31 23:30:01 PDT 2009,NO_QUERY,ibeardslee,taking advantage that my website/blog has been fairly empty and restarting it from scratch .. will try and work out what broke it later 
167,1671,0,1989144749,Mon Jun 01 00:29:46 PDT 2009,NO_QUERY,vosti,I never thought I'd have seen a goto in code I have to work on  nightmares happens
168,1681,0,1989479210,Mon Jun 01 01:41:42 PDT 2009,NO_QUERY,AlexKallai,@JessicaMaley I miss your face  xxxxxxxxxxxxx
169,1691,0,1989820442,Mon Jun 01 02:55:44 PDT 2009,NO_QUERY,HelenCrozier,yes #eventbrite is down for me too - just when I needed to send link out for some bookings 
170,1701,0,1990117969,Mon Jun 01 03:56:19 PDT 2009,NO_QUERY,lucky1306,It gets time to start thinking  in English again with a 10 day business trip to #Denver ahead   Please take the blanket out of you mouth
171,1711,0,1990434388,Mon Jun 01 04:51:42 PDT 2009,NO_QUERY,nickmarryme,Good morning twitter!!! Im not in the best mood  aghh. Hope you all have a great day! xox
172,1721,0,1990755963,Mon Jun 01 05:40:09 PDT 2009,NO_QUERY,JenniferAnn21,But what can I do ? So I guess I don't have a brother or niece or nephew   I could careless about my sister in law she started all this !
173,1731,0,1991118858,Mon Jun 01 06:26:23 PDT 2009,NO_QUERY,somewhatvoluble,@AmberYake Comments are closed on your most recent post. 
174,1741,0,1991521487,Mon Jun 01 07:11:21 PDT 2009,NO_QUERY,Rockler,"Back from Asheville, NC; visited Biltmore Estate. Arrived @ estate farm10 mins after it closed; had wanted to see woodworker in action! "
175,1751,0,1991942157,Mon Jun 01 07:56:02 PDT 2009,NO_QUERY,mrjcampbell,@jaay89 A few guests for lunch but nobody staying - yet. Must be a bugger for Shaun stuck inside on a day like this 
